,time,site
28912,2022-07-10,ukf3102-09600
49895,2020-11-10,ukd1101-46100
36278,2020-03-03,ukk3101-26560
55104,2021-04-16,ukk2201-17200
28275,2022-06-23,ukk3106-27800
47136,2020-09-04,ukk3102-28800
87290,2020-07-18,ukk2302-35600
23355,2022-02-02,ukj4209-11975
39743,2020-04-28,ukh3311-11700
24925,2022-03-25,ukc2204-05300
99608,2022-07-07,ukf3102-09500
50683,2020-12-24,ukj4208-13700
21843,2021-11-05,ukk4304-34800
73468,2022-05-29,ukk3104-33300
55527,2021-04-22,ukk3104-32800
78029,2022-08-14,ukh3100-11900
56001,2021-04-29,ukk1202-36000
30684,2022-08-14,ukh1407-10830
6241,2020-06-25,ukj2403-15900
19278,2021-08-29,ukf3102-09400
24413,2022-03-14,ukh1305-10200
40321,2020-05-06,ukk2101-19000
32674,2022-09-28,ukj2100-14800
69194,2022-03-04,ukh3100-11780
42976,2020-06-22,ukj4208-13700
40940,2020-05-17,ukk3101-26700
112475,2020-08-24,uki1106-11940
51404,2021-01-24,ukk3106-32320
100921,2022-09-26,ukk2101-19020
103023,2020-06-28,ukk3105-30600
87479,2020-07-30,ukk4301-21600
33934,2022-11-09,ukh1305-10310
109535,2020-05-31,ukj4210-12350
102937,2020-04-24,ukk4305-25200
66479,2021-11-05,ukk3105-30800
104980,2021-09-11,ukk4100-26500
53989,2021-03-29,ukh3311-11500
93125,2021-06-28,uke1200-07950
55271,2021-04-19,ukd5400-40800
46317,2020-08-17,ukk4305-25300
58872,2021-06-13,ukk3106-27700
66324,2021-11-02,ukk2205-21300
19119,2021-08-24,ukj4208-13500
32641,2022-09-28,uke1200-08900
25876,2022-04-24,ukk3104-32900
104975,2021-09-11,ukk3104-33400
65278,2021-10-11,ukk4200-23300
71015,2022-04-09,ukk1202-35900
110181,2021-05-06,ukj4210-12400
49949,2020-11-10,ukk3105-31350
98085,2022-03-25,ukk4306-22700
16433,2021-06-08,ukk4200-23200
110007,2021-02-25,ukj3307-16400
111944,2022-01-21,ukk4305-24700
95404,2021-10-16,ukk3105-30700
13398,2021-04-04,ukk4306-22900
23540,2022-02-07,ukj4210-12660
46168,2020-08-15,ukk4304-34300
18812,2021-08-12,ukc1404-05900
55010,2021-04-14,ukk4301-22100
36281,2020-03-03,ukk3101-26900
99634,2022-07-08,ukk4100-26500
51179,2021-01-13,ukj2202-14150
34856,2022-12-24,ukh1305-10310
62307,2021-08-14,ukk2206-20900
72226,2022-05-02,ukk4304-34600
21469,2021-10-28,ukh1303-10350
39990,2020-05-01,ukk2206-20800
15895,2021-05-29,ukk3106-27600
45967,2020-08-12,ukd5400-40800
89230,2020-10-18,ukj4208-13400
37243,2020-03-23,ukk3102-31650
84239,2022-12-20,ukd5400-40750
49020,2020-10-11,ukk3105-31250
32595,2022-09-26,ukk2305-35100
67105,2021-11-25,uke1200-08200
10692,2020-11-25,ukd4303-41900
48117,2020-09-24,ukd1103-45920
4363,2020-05-14,ukk3105-30700
48235,2020-09-26,ukk3104-32800
37780,2020-03-30,ukk3104-32800
90403,2021-01-09,ukk4305-25900
57036,2021-05-14,ukk4305-26300
76147,2022-07-15,ukj3400-17700
91646,2021-04-04,ukk4301-21700
28885,2022-07-10,ukc1202-06300
75636,2022-07-08,ukk2205-21200
45926,2020-08-11,ukj2201-14550
43162,2020-06-25,ukh3311-11300
72312,2022-05-04,ukk2204-20200
26022,2022-04-28,ukh1407-10800
15867,2021-05-29,uke2206-07700
65899,2021-10-25,ukh1303-10600
92291,2021-05-06,ukj3305-16800
17310,2021-07-02,ukh1303-10500
4425,2020-05-16,ukh3311-11100
107020,2022-10-26,ukk4305-26000
14916,2021-05-06,ukj3400-18000
106222,2022-03-23,ukk3101-26560
111151,2022-01-04,ukk4200-23501
4656,2020-05-21,uke1301-09020
63751,2021-09-15,ukh1303-10600
80476,2022-09-23,ukc2203-05200
50597,2020-12-20,ukk3104-32550
99355,2022-06-13,ukk4200-23800
3045,2020-04-19,ukk3103-29000
27735,2022-06-12,ukf3102-09400
77150,2022-08-02,uke2206-07600
48898,2020-10-10,ukf3102-09300
20155,2021-09-20,ukh1305-10200
52476,2021-02-26,ukd4200-42300
98096,2022-03-27,ukj3305-16800
26403,2022-05-12,ukk3104-32900
23111,2022-01-19,uke2206-07500
91936,2021-04-19,ukk3102-28800
14304,2021-04-24,ukk2102-19350
89543,2020-11-10,ukd1103-44800
16491,2021-06-10,ukk2201-18750
53987,2021-03-29,ukh3311-11300
65984,2021-10-28,ukj3308-17100
33268,2022-10-14,ukk3105-30500
73972,2022-06-06,ukk3106-32310
6369,2020-06-28,ukk2102-19400
68856,2022-02-21,ukd4200-42500
57038,2021-05-14,ukk4306-22700
77943,2022-08-12,ukk3104-33100
73433,2022-05-29,ukk2206-20400
22628,2021-12-15,ukk2201-18800
17145,2021-06-28,ukc2203-05100
20733,2021-10-05,ukh3311-11550
55083,2021-04-16,ukj3307-16400
83502,2022-11-25,ukk3106-27600
68827,2022-02-17,ukh3311-11250
26737,2022-05-19,ukk3106-32300
30564,2022-08-12,ukd1101-46000
47509,2020-09-10,ukj4210-12800
4516,2020-05-18,ukj2204-14000
9856,2020-10-11,ukc1404-05900
3048,2020-04-19,ukk3105-30500
10771,2020-12-04,ukj2205-14300
109888,2022-04-26,ukj4210-12350
79821,2022-09-13,uke2206-07600
19992,2021-09-16,ukd1103-45600
11138,2021-01-09,ukc2102-03800
10755,2020-12-04,ukh1304-09900
21720,2021-11-02,ukk2201-18800
95181,2021-10-08,ukh3311-11600
61500,2021-08-02,ukk3101-26900
28717,2022-07-05,ukj4202-12100
80133,2022-09-18,uke1200-08200
42574,2020-06-15,ukh1305-10000
104186,2021-01-01,ukj3400-17700
40388,2020-05-07,ukk3103-29500
94805,2021-09-23,ukk4301-21600
80170,2022-09-18,ukj2402-15650
102619,2020-01-10,ukd5400-40750
61292,2021-07-30,ukk2102-19170
31511,2022-09-01,uke2206-07000
97955,2022-03-20,ukk4305-25700
36022,2020-02-26,ukk2205-20970
48567,2020-10-03,ukk2206-20700
2779,2020-04-14,ukk2201-18900
19267,2021-08-29,ukc2300-05500
23053,2022-01-18,ukj2202-14100
6833,2020-07-11,ukk3106-28000
54327,2021-04-04,ukk3105-30750
85051,2020-02-12,ukk3102-28600
69775,2022-03-13,ukk3102-28600
105800,2022-01-17,ukk3103-29200
107513,2022-12-10,ukk4304-34410
39391,2020-04-23,ukj2407-15400
106293,2022-04-02,ukk3103-29400
24339,2022-03-12,ukj2202-14100
69716,2022-03-12,ukj3400-18200
18580,2021-08-07,ukc2204-05400
15887,2021-05-29,ukk3105-30700
1778,2020-03-25,uke1200-08000
85745,2020-04-02,ukk3106-27400
34300,2022-11-22,ukf3102-09200
46578,2020-08-24,ukj3400-18350
94264,2021-09-03,ukj2204-13900
39949,2020-05-01,ukj2402-15700
106263,2022-03-25,ukk4304-34410
52879,2021-03-07,ukj3305-16700
3943,2020-05-06,ukj3400-17500
39782,2020-04-29,uke1200-08200
45622,2020-08-07,ukk2204-19900
58319,2021-06-05,ukh1303-10600
32120,2022-09-16,uke1200-08700
24462,2022-03-15,ukc2106-04500
83318,2022-11-20,ukk3103-31500
5177,2020-05-31,ukc1202-06700
82075,2022-10-20,ukh1303-10600
46749,2020-08-27,ukk3104-33300
101551,2022-11-02,ukj2203-14600
63602,2021-09-11,ukk4200-24000
15050,2021-05-11,ukf3102-09100
48698,2020-10-06,ukk2101-19160
86029,2020-04-17,ukk3106-27300
104349,2021-02-06,ukk3102-31900
9127,2020-09-16,ukk4307-33800
72796,2022-05-16,ukj2205-14200
40810,2020-05-14,ukk2302-35500
77981,2022-08-12,ukk4304-34000
69965,2022-03-17,ukc1202-06600
18876,2021-08-12,ukk4200-23600
23074,2022-01-19,ukc1202-06300
23177,2022-01-21,ukj2204-14000
46868,2020-08-29,ukk2206-20300
7754,2020-08-06,ukj4209-11950
86457,2020-05-12,ukk3106-28400
66969,2021-11-22,ukh1303-10325
82117,2022-10-23,ukc1101-06000
22239,2021-11-23,ukc2102-03600
18930,2021-08-14,ukh1407-10830
71472,2022-04-19,ukk2102-19450
26792,2022-05-21,ukj3400-18400
58582,2021-06-08,ukk3102-31600
97920,2022-03-20,ukk3101-26600
22790,2022-01-04,ukc2106-04500
46959,2020-08-30,ukk4307-33900
8150,2020-08-17,ukk4200-23400
3863,2020-05-04,ukk4200-24200
106523,2022-05-12,ukd4303-41800
93401,2021-07-17,ukj2402-15650
80144,2022-09-18,ukh1303-10600
62219,2021-08-14,ukc2203-04800
105613,2021-12-15,ukk2302-35300
13145,2021-03-27,ukk2204-19800
7061,2020-07-18,uke1301-09000
82512,2022-10-31,ukk3103-29501
77853,2022-08-12,ukc1202-06500
7489,2020-07-31,ukc2102-03700
76286,2022-07-17,ukh3311-11700
43801,2020-07-08,ukk2201-18700
97059,2022-01-22,ukk3102-28700
10715,2020-11-27,ukf3102-09600
54965,2021-04-14,ukk3104-32550
83769,2022-12-07,ukj2100-15000
90241,2020-12-30,ukk3102-28600
33023,2022-10-08,ukj2201-14500
41168,2020-05-19,ukk4200-24600
57197,2021-05-17,ukk3106-27200
94674,2021-09-19,ukk3104-33700
97855,2022-03-17,ukk2101-19150
51274,2021-01-23,ukh1303-10325
29454,2022-07-20,ukc1202-06400
70433,2022-03-24,ukh3100-11780
7438,2020-07-30,ukh1406-10900
110702,2022-09-23,ukj4210-12400
70291,2022-03-22,uke2206-07400
104651,2021-04-12,ukk4304-34400
110585,2020-04-26,ukj4210-12400
78012,2022-08-14,uke1200-08800
11518,2021-01-29,ukk2201-18750
54256,2021-04-04,uke1200-08300
103219,2020-08-27,ukk3104-32700
7699,2020-08-04,ukj4202-12200
2980,2020-04-18,ukj4208-13800
82680,2022-11-08,ukd1101-46100
102721,2020-01-20,ukk4304-34700
57646,2021-05-24,ukk3105-30750
62322,2021-08-22,ukc2102-03700
21014,2021-10-13,ukc1404-05900
110109,2020-01-20,ukk3104-32550
29898,2022-07-31,ukk3105-30500
86944,2020-06-23,ukk4304-34100
97883,2022-03-18,ukk3106-27400
5463,2020-06-07,ukj4210-12750
7497,2020-07-31,ukd4303-41900
10305,2020-11-02,ukf3102-09600
14957,2021-05-07,ukk3102-28600
93163,2021-06-30,ukj2100-14950
85660,2020-03-30,ukd1102-44300
31052,2022-08-24,ukh1305-10310
73924,2022-06-06,ukd4303-41900
16786,2021-06-18,ukk3105-31100
28890,2022-07-10,ukc1404-05800
69606,2022-03-10,ukk3102-31700
89999,2020-12-17,ukf3102-09500
56565,2021-05-06,ukk2206-20800
40096,2020-05-03,ukj2202-14150
57705,2021-05-27,ukk3101-26570
39197,2020-04-21,uke2206-07400
4445,2020-05-17,ukc2102-03600
27300,2022-06-03,ukc2204-05300
57861,2021-05-29,ukk2302-35300
66205,2021-10-31,ukk3106-28200
34179,2022-11-17,ukk2201-18750
38164,2020-04-04,ukk3106-32330
49260,2020-10-16,ukk2206-20500
60516,2021-07-17,ukj4210-12400
112350,2022-05-16,ukk4306-22700
47404,2020-09-08,ukk2204-19900
95856,2021-11-05,ukk2305-34900
38189,2020-04-04,ukk4306-22800
111941,2021-12-17,ukk4305-24700
11237,2021-01-13,ukh1305-10150
54513,2021-04-08,ukj4208-13600
75327,2022-07-03,uke2206-07400
103969,2020-11-15,ukk4305-26000
109249,2021-03-09,ukj2403-16000
106466,2022-04-29,ukk3102-31600
4437,2020-05-16,ukj4208-13500
14964,2021-05-07,ukk3105-30900
57085,2021-05-16,ukj2205-14200
77268,2022-08-04,ukc1202-06500
64192,2021-09-21,ukk3106-32200
15182,2021-05-13,ukj4204-13000
73997,2022-06-07,ukh3311-11250
92276,2021-05-04,ukk4305-26100
15429,2021-05-18,ukh1305-10150
95995,2021-11-10,ukk4304-34300
86866,2020-06-16,ukk3104-33400
25522,2022-04-16,ukj3305-16700
49316,2020-10-16,ukk4305-25100
18681,2021-08-09,ukh1407-10750
77358,2022-08-04,ukk2302-35300
64690,2021-10-01,ukk3104-32800
32256,2022-09-19,ukd5400-40900
85306,2020-03-05,ukk3103-29200
65902,2021-10-25,ukh1305-10300
18296,2021-07-31,ukk3106-27900
18634,2021-08-07,ukk4200-24500
48515,2020-10-03,ukh3311-11300
76918,2022-07-28,ukk4305-25400
37138,2020-03-22,ukh1304-09850
27739,2022-06-12,ukh1303-10500
21008,2021-10-13,ukc1101-06200
72262,2022-05-03,ukj4210-12800
30092,2022-08-04,uke2206-07500
20668,2021-10-03,ukj4209-11975
20688,2021-10-04,ukd1101-46000
89131,2020-10-14,ukk3103-30000
28652,2022-07-05,ukc1202-06700
1387,2020-03-17,ukf3102-09400
107494,2022-12-10,ukk3103-29501
35973,2020-02-26,ukh1305-10000
5429,2020-06-07,ukh1406-10900
2719,2020-04-13,ukj4202-12200
75923,2022-07-12,ukh3311-11350
97088,2022-01-27,ukk3102-28700
32402,2022-09-23,ukc1404-05900
50954,2021-01-02,ukk3102-32000
51596,2021-02-01,ukd4312-43000
32722,2022-09-29,ukk3104-32900
29211,2022-07-15,ukh3100-11830
71779,2022-04-24,ukk2201-17200
88968,2020-10-09,ukd1102-44400
94319,2021-09-06,ukk2204-20200
75558,2022-07-07,ukh3100-11900
62761,2021-08-27,ukk4200-23501
27923,2022-06-15,ukh3311-11100
35842,2020-02-11,ukj3308-17100
62750,2021-08-27,ukk3106-28100
100542,2022-09-09,ukk3104-33200
30711,2022-08-14,ukj4202-12120
16473,2021-06-10,uke2206-07500
5711,2020-06-15,ukc1202-06400
91792,2021-04-12,ukk4304-34100
36075,2020-02-29,ukc2102-03700
35952,2020-02-26,ukc1202-06700
21357,2021-10-23,ukj3400-18000
72628,2022-05-14,ukd4200-42300
60680,2021-07-20,uke1200-08200
5464,2020-06-08,ukc1101-06200
31666,2022-09-05,ukj4210-12660
34266,2022-11-20,ukd5300-41200
55768,2021-04-26,uke2206-06900
38710,2020-04-14,uke2206-06900
28687,2022-07-05,ukh1305-10310
67045,2021-11-23,ukd1103-45600
96479,2021-12-05,ukk3106-27300
27278,2022-06-03,ukc1202-06300
110720,2020-01-19,ukj2403-16000
25004,2022-03-27,ukj3400-17800
98646,2022-04-26,ukk4301-21600
59834,2021-07-01,ukk3103-31500
4909,2020-05-26,ukf3102-09100
11799,2021-02-10,ukj4202-12200
54167,2021-04-02,ukd4305-43260
48832,2020-10-08,ukk2205-21100
21793,2021-11-05,ukc1202-06300
55793,2021-04-26,ukj2100-14900
5458,2020-06-07,ukj4209-12000
72171,2022-05-02,ukd4305-43260
73202,2022-05-24,ukk3102-31600
80966,2022-09-29,ukk3104-33500
7843,2020-08-09,ukc2204-05300
92992,2021-06-18,ukk4301-21600
55315,2021-04-19,ukk3102-28500
5709,2020-06-15,ukc1101-06200
60795,2021-07-21,ukk3102-31700
112297,2021-07-30,ukk4306-23000
31922,2022-09-11,ukd1101-46000
30883,2022-08-19,ukj2100-14950
76359,2022-07-18,ukk2204-20200
97888,2022-03-18,ukk4304-34100
59539,2021-06-26,ukk3103-29500
91686,2021-04-08,ukh3100-11850
77223,2022-08-02,ukk3105-31350
47714,2020-09-16,ukd5400-40800
79623,2022-09-10,ukh1303-10400
68647,2022-02-05,ukj3307-16300
85318,2020-03-05,ukk4200-23700
48893,2020-10-09,ukk3106-32330
8654,2020-09-01,ukk4306-22900
79108,2022-09-01,ukk3102-28500
49135,2020-10-14,ukk3101-26900
113054,2020-05-26,ukj4210-12450
86062,2020-04-19,ukk3101-26800
112898,2021-07-20,ukk4200-23100
18337,2021-08-01,ukj4202-12150
31633,2022-09-05,ukh1304-09800
6199,2020-06-25,uke1200-08900
104352,2021-02-06,ukk3104-33300
103974,2020-11-25,ukd4200-42500
95651,2021-10-29,ukk4304-34200
20937,2021-10-10,ukj4210-12450
93957,2021-08-14,ukj3308-17000
33356,2022-10-16,uke1301-09000
63969,2021-09-18,ukj4210-12300
19180,2021-08-27,ukc2102-03600
29530,2022-07-20,ukk2101-19100
11505,2021-01-29,ukd1103-45600
38841,2020-04-16,uke2206-07400
32668,2022-09-28,ukh1407-10830
63982,2021-09-18,ukk2204-19700
63945,2021-09-18,ukj2100-14900
54114,2021-03-30,ukk3105-31300
96436,2021-12-05,uke1200-07900
43873,2020-07-08,ukk3106-28300
83290,2022-11-20,ukk1202-36000
84146,2022-12-17,ukc1202-06700
57250,2021-05-18,ukj4208-13700
49487,2020-10-26,ukk3103-28900
14799,2021-05-04,uke2206-07200
96639,2021-12-17,ukk2204-20100
90319,2021-01-02,ukd1103-45200
7447,2020-07-30,ukj2201-14500
42872,2020-06-21,ukd4200-42600
79177,2022-09-01,ukk4307-33900
87365,2020-07-21,ukk3105-30600
20605,2021-10-01,ukk4307-33800
78378,2022-08-20,ukk3103-29900
7364,2020-07-28,uke2206-07100
23690,2022-02-22,ukf3102-09400
80140,2022-09-18,uke2206-07600
88950,2020-10-08,ukj3400-18300
58481,2021-06-07,ukh1406-10900
7602,2020-08-02,ukk2204-19700
34769,2022-12-15,ukk4306-22500
31465,2022-08-31,ukj4202-12120
15290,2021-05-14,ukk4307-33800
110168,2021-03-15,ukj3400-17600
110482,2021-08-29,ukk4200-23600
73269,2022-05-27,ukd1101-46100
53770,2021-03-25,ukk2204-19600
65503,2021-10-16,ukd1103-45920
95089,2021-10-04,ukk3106-27800
26549,2022-05-14,ukk3106-32100
17245,2021-06-30,ukj3100-16600
50247,2020-11-25,ukk2201-18800
69722,2022-03-12,ukk1202-35700
90817,2021-02-11,ukd1102-44300
11298,2021-01-21,ukj4208-13800
74720,2022-06-20,ukk2204-19600
45843,2020-08-10,ukk3101-26900
90948,2021-02-23,ukk1202-35800
14398,2021-04-26,ukj2403-15900
21467,2021-10-28,ukf3102-09600
18939,2021-08-14,ukj2205-14300
57516,2021-05-22,ukk3104-33350
79515,2022-09-08,ukj4208-13600
50851,2020-12-30,ukk3106-32320
60162,2021-07-08,ukk4200-23100
14277,2021-04-24,ukc2104-04280
38382,2020-04-08,ukh3100-11904
8800,2020-09-08,ukc2204-05400
106150,2022-03-13,ukk3105-30750
112070,2020-04-26,ukj4208-13300
43732,2020-07-07,ukj2100-15000
45549,2020-08-06,ukj2100-15000
43423,2020-07-01,ukd4312-43000
45544,2020-08-06,ukh3311-11500
101109,2022-10-06,ukk3103-29200
28063,2022-06-20,ukh1407-10830
65612,2021-10-20,ukf3102-09300
19092,2021-08-24,ukh1407-10800
98926,2022-05-19,ukd1102-44400
70266,2022-03-20,ukk4305-25500
70211,2022-03-20,ukk2206-20400
20274,2021-09-23,ukf3102-09100
82824,2022-11-10,ukk3105-31000
28934,2022-07-10,ukj2201-14500
96344,2021-11-25,ukk4200-23800
89576,2020-11-10,ukk3102-31650
78815,2022-08-27,ukk4304-34600
4229,2020-05-12,ukk3105-30200
104017,2020-12-15,ukc2106-04500
53655,2021-03-22,ukk1202-36000
109656,2022-05-24,uke1301-09000
72486,2022-05-08,ukh3311-11300
70118,2022-03-19,ukh1406-11000
49966,2020-11-10,ukk4306-22500
110989,2021-10-08,ukk4200-23400
85704,2020-03-30,ukk4305-26100
27467,2022-06-07,ukh1303-10350
40417,2020-05-07,ukk3106-27500
109036,2020-01-15,ukk3104-32800
112346,2022-04-26,ukj4210-12450
57586,2021-05-24,ukk2201-17200
77320,2022-08-04,ukj3400-17400
111842,2020-09-18,ukk4306-22600
35733,2020-02-06,ukh3100-11800
99762,2022-07-17,ukh3311-11600
78521,2022-08-24,ukj4208-13700
63998,2021-09-18,ukk4301-21800
59805,2021-07-01,ukd1103-45920
84458,2022-12-27,ukk4301-21900
112027,2022-10-08,ukk4200-23600
78846,2022-08-29,ukh1303-10325
54117,2021-03-30,ukk3106-27200
48540,2020-10-03,ukj4208-13700
108961,2022-12-03,ukk3104-32600
69202,2022-03-04,ukh3311-11350
56864,2021-05-13,ukh1304-09850
26556,2022-05-14,ukk4200-24500
89133,2020-10-14,ukk3104-33700
91275,2021-03-13,ukk4304-34200
80776,2022-09-26,ukk3104-33650
72908,2022-05-19,ukk2206-20400
14997,2021-05-08,ukh1407-10750
32681,2022-09-28,ukj3100-16600
8241,2020-08-22,uke2206-07700
70798,2022-04-01,ukk4301-21800
70213,2022-03-20,ukk2206-20700
63677,2021-09-13,ukk2205-21200
61581,2021-08-04,ukc2203-04800
31248,2022-08-27,ukk2204-19700
76959,2022-07-30,ukj3400-18200
87570,2020-08-04,ukj2402-15650
59325,2021-06-23,ukk1202-36000
79085,2022-09-01,ukk2201-18800
89218,2020-10-16,ukk4305-25700
60801,2021-07-21,ukk3103-29501
75531,2022-07-05,ukk2206-20300
11465,2021-01-28,ukj2205-14300
18372,2021-08-02,ukc2204-05400
61460,2021-08-02,uke2206-07100
13554,2021-04-09,ukd4303-41800
351,2020-01-27,ukh1304-09800
111550,2021-12-17,ukk4200-23400
11470,2021-01-28,ukj4204-13000
32546,2022-09-25,ukj4209-12000
75665,2022-07-08,ukk3103-29501
45906,2020-08-11,ukh1303-10325
47489,2020-09-10,ukh3311-11250
73727,2022-06-03,uke1200-07900
62744,2021-08-27,ukk3105-31350
12931,2021-03-22,ukj4209-12000
78131,2022-08-17,uke2206-07600
14561,2021-04-29,ukk3105-31000
90998,2021-02-23,ukk4305-25900
50107,2020-11-15,ukd4305-43260
94559,2021-09-16,ukd5300-41300
46886,2020-08-30,ukd4200-42100
78789,2022-08-27,ukk3106-27700
65699,2021-10-21,ukk2206-20400
38615,2020-04-11,ukk1202-36000
15433,2021-05-18,ukh1407-10800
74543,2022-06-15,ukj2201-14550
52206,2021-02-18,ukk3102-32000
55220,2021-04-18,ukh3311-11300
40480,2020-05-09,ukd4200-42600
81693,2022-10-13,ukk2101-19160
71414,2022-04-18,ukj2201-14550
96192,2021-11-22,ukc2203-05200
76450,2022-07-18,ukk4305-25800
13152,2021-03-29,ukf3102-09600
28794,2022-07-08,ukc2102-03600
26612,2022-05-16,ukh3100-11770
16049,2021-06-02,ukf3102-09200
97435,2022-02-25,ukj2401-15200
71601,2022-04-21,ukj3304-16850
107771,2020-04-01,ukj4210-12350
49745,2020-11-05,ukd4200-42600
46252,2020-08-17,ukk3102-31800
56153,2021-05-01,ukj2202-14150
108755,2022-04-24,ukk3102-31650
49751,2020-11-05,ukd5400-41000
95817,2021-11-04,ukf3102-09500
45638,2020-08-07,ukk2302-35500
95787,2021-11-03,ukk3102-28500
44777,2020-07-22,ukj4210-12300
71755,2022-04-24,ukd4305-43260
79926,2022-09-14,ukk3105-31000
70328,2022-03-22,ukj3307-16300
77499,2022-08-07,ukd4200-42300
57120,2021-05-16,ukk2204-20000
850,2020-02-29,ukk3105-30500
58182,2021-06-03,uke2206-07400
99068,2022-05-28,ukj4208-13400
44148,2020-07-13,ukd4312-42800
38281,2020-04-06,ukk2206-20700
20900,2021-10-10,ukf3102-09600
82836,2022-11-10,ukk4200-24000
68496,2022-02-02,ukj4204-13200
51394,2021-01-24,ukk3105-31400
16256,2021-06-05,ukj4208-13400
34189,2022-11-18,ukd1101-46000
56102,2021-04-29,ukk4305-25500
32412,2022-09-23,uke2206-06800
58869,2021-06-13,ukk3106-27100
47491,2020-09-10,ukh3311-11350
110474,2021-07-30,ukk4200-23501
85227,2020-02-29,ukk4305-25300
82474,2022-10-31,ukk2102-19190
58153,2021-06-02,ukj4210-12850
2641,2020-04-11,ukh1305-10310
74573,2022-06-15,ukk2102-19190
12725,2021-03-17,ukk2201-18750
67333,2021-12-04,ukj2205-14200
76167,2022-07-15,ukk2204-19600
81877,2022-10-16,ukk2201-18800
104118,2020-12-20,ukk4305-25500
111421,2020-04-06,ukk4200-23600
67413,2021-12-05,ukk3105-30400
6290,2020-06-27,ukh1305-10150
10384,2020-11-04,ukh3311-11100
42650,2020-06-15,ukk4301-22100
52191,2021-02-18,ukk2205-21400
73068,2022-05-22,ukd4200-42300
52580,2021-02-28,ukd4305-43260
42301,2020-06-08,ukk3106-28300
12534,2021-03-14,ukh1304-09900
24220,2022-03-10,ukc1202-06650
39012,2020-04-18,ukh3100-11780
50169,2020-11-15,ukk4301-22300
90958,2021-02-23,ukk2205-21500
43009,2020-06-23,uke1200-08600
25924,2022-04-26,ukh1303-10650
42557,2020-06-15,ukc2203-04800
73624,2022-06-01,ukd4303-41900
96501,2021-12-05,ukk4304-34300
95830,2021-11-05,ukc2203-05200
21401,2021-10-24,ukk4307-33800
96834,2022-01-13,ukf3102-09500
98715,2022-04-29,ukk3105-31400
65229,2021-10-11,ukk2205-21200
16880,2021-06-21,ukk3105-30900
89688,2020-11-13,ukk3103-29200
87632,2020-08-07,ukk4301-21700
109518,2020-02-12,ukk3105-31350
84549,2020-01-10,ukk3105-31200
96081,2021-11-17,ukk1202-35800
96660,2021-12-18,ukk3102-31900
86939,2020-06-23,ukk3106-28400
4835,2020-05-24,ukk2206-20600
57434,2021-05-21,ukj3400-17900
81216,2022-10-06,ukc2300-05600
90067,2020-12-20,ukk2101-19160
38906,2020-04-16,ukk2205-20970
58223,2021-06-03,ukk3102-28500
17898,2021-07-20,ukj2201-14400
47646,2020-09-14,ukk3106-28200
83911,2022-12-10,ukd4312-43000
55654,2021-04-24,ukk2201-18700
25413,2022-04-14,ukc2203-05000
4250,2020-05-12,ukk4304-34800
103105,2020-07-26,ukk4304-34000
52126,2021-02-16,ukk3106-28200
62770,2021-08-27,ukk4304-34410
75667,2022-07-08,ukk3103-29900
63255,2021-09-06,ukc2203-05200
6437,2020-07-01,ukd5300-41200
108028,2020-11-25,ukk4304-34410
98998,2022-05-22,ukk3106-27300
61012,2021-07-23,ukk4301-21900
61377,2021-07-31,ukk3106-27100
72217,2022-05-02,ukk3106-32150
82849,2022-11-10,ukk4305-25400
83525,2022-11-25,ukk4306-22400
82134,2022-10-23,ukj2100-14900
87306,2020-07-18,ukk3106-32500
34169,2022-11-17,uke2206-07700
90109,2020-12-20,ukk4200-23501
30383,2022-08-09,ukf3102-09600
86928,2020-06-23,ukk2101-19060
24890,2022-03-24,ukj4202-12120
10512,2020-11-09,ukj4210-12700
96730,2022-01-03,ukj2204-13900
38473,2020-04-09,ukk3102-28700
29154,2022-07-13,ukk4200-24500
94886,2021-09-26,ukk3104-33700
42699,2020-06-16,ukk3104-33300
78311,2022-08-19,ukk1202-35700
80915,2022-09-28,ukk2206-20700
93397,2021-07-17,ukj2204-13900
61307,2021-07-30,ukk2205-21200
87597,2020-08-07,ukc2106-04500
57083,2021-05-16,ukj2201-14550
38275,2020-04-06,ukk2205-21200
74226,2022-06-10,ukk2102-19190
3569,2020-04-29,ukk3106-27800
11822,2021-02-11,ukd1102-44400
80412,2022-09-21,ukk3103-31500
28318,2022-06-25,uke2206-07700
77800,2022-08-10,ukk4304-34300
104278,2021-01-24,ukk3104-33300
11817,2021-02-11,ukc2102-03800
62680,2021-08-27,ukk2102-19200
45810,2020-08-09,ukk2205-21200
10794,2020-12-15,ukc2102-03800
48800,2020-10-08,ukj2100-14900
44171,2020-07-13,ukk2102-19190
58919,2021-06-15,uke1200-08300
100617,2022-09-11,ukk4306-23000
92784,2021-06-05,ukj3400-18600
96367,2021-11-29,ukj4210-12630
45772,2020-08-09,ukj2401-15300
83437,2022-11-25,ukd4200-42100
949,2020-03-03,ukc2101-04200
79451,2022-09-08,ukc1101-06000
13526,2021-04-09,ukc1202-06300
51938,2021-02-10,ukh3306-11750
60370,2021-07-15,ukj3400-18300
71053,2022-04-09,ukk3103-31500
88019,2020-09-01,ukk2206-20300
66983,2021-11-22,ukh3311-11250
51470,2021-01-29,ukc2203-04800
31326,2022-08-29,ukf3102-09100
77053,2022-07-31,ukk3105-31350
16440,2021-06-08,ukk4200-24500
26517,2022-05-14,ukk2102-19400
44914,2020-07-28,ukd5300-41500
78373,2022-08-20,ukk3103-29200
61188,2021-07-28,ukk3103-29900
21995,2021-11-14,ukj4202-12200
